,Ticker,Date,Close,5D_MA_Close,10D_MA_Close,30D_MA_Close,60D_MA_Close,100D_MA_Close,200D_MA_Close,Signal 100,Signal 200
2,A,2025-01-14,143.43,139.45,137.13,137.52,135.46,137.74,137.47,FALSE,FALSE
3,AAPL,2025-01-14,233.28,237.89,242.43,246.49,237.75,232.84,215.77,FALSE,FALSE
4,ABBV,2025-01-14,175.55,177.1,178.02,177.04,181.03,185.97,177.18,TRUE,TRUE
5,ABNB,2025-01-14,127.6,129.63,131.38,133.79,134.93,130.46,138.81,TRUE,TRUE
6,ABT,2025-01-14,113.02,113.23,113.24,114.23,115.39,114.81,110,TRUE,FALSE
7,ACGL,2025-01-14,91.99,91.58,91.57,93.38,95.67,99.87,96.29,TRUE,TRUE
8,ACN,2025-01-14,348.99,352.41,352.03,357.34,358.54,353.79,331.33,TRUE,FALSE
9,ADBE,2025-01-14,412.71,413.87,426.26,468.59,484.06,504.11,505.86,TRUE,TRUE
10,ADI,2025-01-14,214.65,215.26,214.6,215.53,218.12,221.07,218.18,TRUE,TRUE
11,ADM,2025-01-14,51.19,50.73,50.42,51.31,52.58,55.17,57.66,TRUE,TRUE
12,ADP,2025-01-14,291.69,289.81,290.32,295.34,295.56,287.85,266.09,FALSE,FALSE
13,ADSK,2025-01-14,286.87,288.77,291.68,298.11,298.56,285.47,258.77,FALSE,FALSE
14,AEE,2025-01-14,89.4,88.69,88.69,89.75,89.46,87.35,80.08,FALSE,FALSE
15,AEP,2025-01-14,94.5,93.06,92.39,93.56,95.39,97.22,92.69,TRUE,FALSE
16,AES,2025-01-14,11.85,12.18,12.57,12.93,13.9,15.54,16.78,TRUE,TRUE
17,AFL,2025-01-14,103.65,102.71,102.73,104.26,107.15,108.17,98.37,TRUE,FALSE
18,AIG,2025-01-14,72.59,71.59,72.16,72.92,74.47,74.2,74.54,TRUE,TRUE
19,AIZ,2025-01-14,204.74,203.19,207.24,214.23,210.13,203.46,187.6,FALSE,FALSE
20,AJG,2025-01-14,289.11,285.44,282.82,288.17,290.01,289.5,273.16,TRUE,FALSE
21,AKAM,2025-01-14,90.58,91,92.86,95.89,96.48,98.02,97.27,TRUE,TRUE
22,ALB,2025-01-14,92.63,89.61,88.35,95.27,97.99,95.06,101.18,TRUE,TRUE
23,ALGN,2025-01-14,210.46,213.84,211.99,221.53,220.49,226.82,244.85,TRUE,TRUE
24,ALL,2025-01-14,186.81,185.64,188.28,194.21,193.9,191.05,178.53,TRUE,FALSE
25,ALLE,2025-01-14,129.75,128.01,128.96,134.44,138.66,139.76,131.86,TRUE,TRUE
26,AMAT,2025-01-14,173.65,174.19,170.86,170.87,176.1,183.29,198.52,TRUE,TRUE
27,AMCR,2025-01-14,9.52,9.5,9.44,9.76,10.11,10.46,10.04,TRUE,TRUE
28,AMD,2025-01-14,116.09,119.72,121.74,127.37,136.75,144.11,151.11,TRUE,TRUE
29,AME,2025-01-14,179.15,177.79,178.73,184.94,184.1,177.74,173.7,FALSE,FALSE
30,AMGN,2025-01-14,267.1,265.16,262.48,267.7,286.38,301.36,300.75,TRUE,TRUE
31,AMP,2025-01-14,526.67,524.7,528.31,541.67,540.89,508.28,465.61,FALSE,FALSE
32,AMT,2025-01-14,178.8,177.11,179.47,189.43,198.36,209.71,201.09,TRUE,TRUE
33,AMZN,2025-01-14,217.76,219.88,221.21,222.85,210.67,199.65,191.48,FALSE,FALSE
